127.0.0.1 - - [10/May/2021:21:35:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:30 +0530] "GET /RiceLand/ HTTP/1.1" 200 11017
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:30 +0530] "GET /RiceLand/assets/css/style.css HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:30 +0530] "GET /RiceLand/assets/js/smooth-scroll.js HTTP/1.1" 200 19560
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/logo/logo.svg HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/rice/mainn.jpg HTTP/1.1" 200 33497
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/rice/basmati.jpeg HTTP/1.1" 200 74067
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/rice/arborio.jpeg HTTP/1.1" 200 14388
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/rice/valencia%201.jpg HTTP/1.1" 200 57403
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/rice/wild%20rice.jpg HTTP/1.1" 200 77144
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/testimonial/user%201.jpeg HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/testimonial/user2.jpeg HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/testimonial/user3.jpeg HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/logo/kohi.jpg HTTP/1.1" 200 28582
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/logo/godrej.jpeg HTTP/1.1" 200 5037
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/logo/amazon.jpeg HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:31 +0530] "GET /RiceLand/assets/images/logo/paypal.jpg HTTP/1.1" 200 34937
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:45 +0530] "GET /RiceLand/productdetail.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:45 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:35:53 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11017
0:0:0:0:0:0:0:1 - - [10/May/2021:21:36:04 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2021:21:36:04 +0530] "GET /RiceLand/login.jsp HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [10/May/2021:21:36:07 +0530] "GET /RiceLand/index.jsp HTTP/1.1" 200 11017
0:0:0:0:0:0:0:1 - - [10/May/2021:21:36:09 +0530] "GET /RiceLand/products.jsp HTTP/1.1" 302 -
